id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen
237089784,premade-applicants-filter,0xbs/premade-applicants-filter,https://github.com/0xbs/premade-applicants-filter,Allows filtering of premade applicants using advanced filter expressions.,2025-12-29T21:15:41+00:00,mainline,,,,True,2026-01-16T16:37:36.782670+00:00
90017760,premade-groups-filter,0xbs/premade-groups-filter,https://github.com/0xbs/premade-groups-filter,A World of Warcraft addon for powerful filtering of premade group listings.,2025-12-29T20:32:02+00:00,"mainline,mists",,,,True,2026-01-16T16:37:36.768222+00:00
202983835,premade-regions,0xbs/premade-regions,https://github.com/0xbs/premade-regions,Provides region information in the premade groups and applicants listings as well as to other addons.,2025-12-29T20:31:45+00:00,mainline,,,,True,2026-01-16T16:37:36.326719+00:00
144499157,what-did-i-dispel-2,0xbs/what-did-i-dispel-2,https://github.com/0xbs/what-did-i-dispel-2,A World of Warcraft addon that tracks buffs/debuffs you dispel and displays them upon request,2025-12-29T20:00:38+00:00,mainline,,,,True,2026-01-16T16:37:37.373747+00:00
734090918,PlayerBlacklist,123456687548/PlayerBlacklist,https://github.com/123456687548/PlayerBlacklist,,2024-01-03T17:08:47+00:00,mainline,957632,,26670,True,2025-12-09T00:40:42.489459+00:00
692788219,KeyUI,1onar/KeyUI,https://github.com/1onar/KeyUI,"World of Warcraft addon that visualizes and manages keyboard, mouse and controller key configurations.",2025-11-09T16:53:04+00:00,mainline,913973,b6XV0OGp,26644,True,2026-01-16T16:37:36.411813+00:00
78367104,Decursive,2072/Decursive,https://github.com/2072/Decursive,Decursive: https://www.wowace.com/projects/decursive,2026-01-01T14:12:53+00:00,"classic,mainline,mists",2154,,,True,2026-01-16T16:37:37.014941+00:00
195662692,H-H-T-D,2072/H-H-T-D,https://github.com/2072/H-H-T-D,,2025-12-31T02:08:45+00:00,"classic,mainline,mists",19474,,,True,2026-01-16T16:37:36.502245+00:00
42425420,LibNameplateRegistry-1.0,2072/LibNameplateRegistry-1.0,https://github.com/2072/LibNameplateRegistry-1.0,An embeddable library providing an abstraction layer for tracking and querying World of Warcraft' Nameplate frames,2025-07-20T23:13:12+00:00,"classic,mainline,mists",62519,,,True,2025-12-09T00:40:44.058264+00:00
195663014,sheepdog,2072/sheepdog,https://github.com/2072/sheepdog,,2025-07-20T23:15:03+00:00,"classic,mainline,mists",28580,,,True,2025-12-09T00:40:44.372024+00:00
152668995,NoteworthyII,28/NoteworthyII,https://github.com/28/NoteworthyII,Fully featured and configurable notepad utility for WoW,2023-11-11T12:29:24+00:00,"classic,mainline,wrath",400633,,,False,2026-01-16T16:37:36.334393+00:00
270124280,Buvvs,2CDeez/Buvvs,https://github.com/2CDeez/Buvvs,Buff Frame Customizer,2020-06-08T21:34:16+00:00,,,,,False,2026-01-16T16:37:36.262979+00:00
288334963,LootRollLedger,4bitfocus/LootRollLedger,https://github.com/4bitfocus/LootRollLedger,Simple loot roll monitor and tracker for World of Warcraft,2022-05-25T00:03:11+00:00,mainline,402978,,25732,True,2026-01-16T16:37:37.013628+00:00
564714594,ElvUI_ProfileConverter,AcidWeb/ElvUI_ProfileConverter,https://github.com/AcidWeb/ElvUI_ProfileConverter,A small tool that allows converting old profile exports to the new format.,2025-08-21T06:55:30+00:00,"classic,mainline,mists",,,,True,2025-12-09T00:40:45.144070+00:00
144394027,HandyNotes_MoleMachine,AcidWeb/HandyNotes_MoleMachine,https://github.com/AcidWeb/HandyNotes_MoleMachine,Display locations of Dark Iron Dwarf mole machines.,2025-08-21T06:58:35+00:00,mainline,,baNDD4No,24766,True,2025-12-09T00:40:45.205237+00:00
561471141,OPie_ElvUI,AcidWeb/OPie_ElvUI,https://github.com/AcidWeb/OPie_ElvUI,Provide ElvUI like skin for OPie and integration with ElvUI CD system.,2025-08-21T06:59:29+00:00,"classic,mainline,mists",,9rN44jND,26446,True,2025-12-09T00:40:45.655532+00:00
231445973,PMWishList,AcidWeb/PMWishList,https://github.com/AcidWeb/PMWishList,,2022-06-01T09:38:54+00:00,mainline,,9rN4gAGD,,True,2025-12-09T00:40:45.687235+00:00
583357083,RECraft,AcidWeb/RECraft,https://github.com/AcidWeb/RECraft,Automate searching of public crafting orders.,2025-08-21T07:06:19+00:00,mainline,,ME6g93G1,26512,True,2026-01-16T16:37:36.503531+00:00
236055382,RECrystallize,AcidWeb/RECrystallize,https://github.com/AcidWeb/RECrystallize,Provide Auction House scanner and add item prices to tooltips.,2025-08-21T07:07:16+00:00,mainline,,9rN4JdKD,25496,True,2026-01-16T16:37:36.506216+00:00
13056366,REFlex,AcidWeb/REFlex,https://github.com/AcidWeb/REFlex,Collect statistics of played arena matches and battlegrounds.,2025-08-21T07:12:08+00:00,mainline,,vEGPQRN1,19190,True,2026-01-16T16:37:36.220294+00:00
142209186,REHack,AcidWeb/REHack,https://github.com/AcidWeb/REHack,Notebook/coding framework.,2025-08-21T07:05:10+00:00,mainline,,qv63Wn6b,24734,True,2026-01-16T16:37:36.502501+00:00
111442018,REKeys,AcidWeb/REKeys,https://github.com/AcidWeb/REKeys,Collect information about keystones owned by your friends.,2025-08-21T07:20:20+00:00,mainline,,XrNke8Ka,24510,True,2025-12-09T00:40:45.121956+00:00
13056371,REPorter,AcidWeb/REPorter,https://github.com/AcidWeb/REPorter,Provide proper battleground map.,2025-08-21T07:09:27+00:00,mainline,,Xb6X0o6p,21089,True,2026-01-16T16:37:36.944247+00:00
13056376,RETabBinder,AcidWeb/RETabBinder,https://github.com/AcidWeb/RETabBinder,Handle automatic change of targeting keybind,2025-08-21T07:03:24+00:00,mainline,,Rn6Ve8Nd,19089,True,2026-01-16T16:37:36.501300+00:00
522043167,BuffEnough,Addons-By-Neotron/BuffEnough,https://github.com/Addons-By-Neotron/BuffEnough,,2023-01-18T21:08:57+00:00,mainline,13579,yQKyMEK7,8953,True,2026-01-16T16:37:36.930749+00:00
208632104,BulkMail,Addons-By-Neotron/BulkMail,https://github.com/Addons-By-Neotron/BulkMail,,2025-07-25T20:55:31+00:00,"bcc,cata,classic,mainline,mists",13586,VBNBrzNx,18819,True,2026-01-16T16:37:37.268664+00:00
208640200,BulkMail2Inbox,Addons-By-Neotron/BulkMail2Inbox,https://github.com/Addons-By-Neotron/BulkMail2Inbox,Bulk mail reception made really easy,2025-07-25T20:56:24+00:00,"bcc,cata,classic,mainline,mists",13587,WL6JdYGv,18867,True,2026-01-16T16:37:36.487626+00:00
